id,region,keyEvent,name,sales,cost,sector
1,1,,Оптиматика 1 Моторс,221,"16248,17",1
2,1,,Топ Карс Калуга,380,"1316,39",0
3,1,,Хит Моторс Славянка,195,"8956,3",2
4,1,,Бест Карс Москва,125,"5886,93",3
5,1,,МоторСпорт,104,"6882,62",3
6,1,,Хит Моторс Советская,78,"631,47",3
7,1,,Кар Премиум Восток,742,"8227,28",0
8,1,,Хит Моторс Заречье,832,"801,06",0
9,1,,Хит Моторс Химки,45,"1592,18",3
10,1,,Авто Центр Сколково,96,"15329,17",2
11,1,,Кар Премиум Нижний,412,"21221,12",1
12,1,,Оптиматика 12 Моторс,394,"12441,09",1
13,1,,Бест Карс Юг,240,"10095,39",1
14,1,,Кар Премиум Запад,387,"14675,42",1
15,1,,Макси Моторс,150,"30154,96",2
16,1,,Хит Моторс Юг,430,"19627,85",1
17,1,,АвтоСтиль Ярославка,100,"18788,74",2
18,1,,Лакшери Моторс,257,"8107,34",0
19,2,,Кар Премиум Восток,154,"23550,22",2
20,2,,Топ Моторс Ростов,1266,"6326,4",0
21,2,,Оптиматика 21 Моторс,63,"4853,68",3
22,2,,Хит Моторс Центр,135,"24680,11",2
23,2,,Оптиматика 23 Моторс,90,"7557,21",3
24,2,,Кар Премиум Охта,1158,"7073,4",0
25,2,,Оптиматика 25 Моторс,138,"13058,96",2
26,2,,Оптиматика 26 Моторс,131,"10420,08",2
27,2,,Оптиматика 27 Моторс,127,"5340,53",3
28,2,,Оптиматика 28 Моторс,103,"10351,65",2
29,2,,Оптиматика 29 Моторс,131,"4227,26",3
30,2,,Оптиматика 30 Моторс,46,"7785,23",3
31,2,,Оптиматика 31 Моторс,288,"4970,81",0
32,2,,Авто Центр Сочи,190,"2142,19",3
33,2,,АвтоСтиль Дубровка,243,"6915,58",0
34,2,,Лайм Моторс Кировск,225,"15619,05",1
35,2,,Оптиматика 35 Моторс,195,"5238,87",3
36,2,,Радиатор Моторс,138,"5471,02",3
37,2,,АвтоСтиль Реутов,657,"16278,29",1
38,2,,АвтоСтиль Балашиха,173,"11431,59",2
39,3,,Оптиматика 39 Моторс,133,"5699,26",3
40,3,,Оптиматика 40 Моторс,67,"5399,77",3
41,3,,Оптиматика 41 Моторс,153,"12000,93",2
42,3,,Авто Центр Мытищи,143,"11369,97",2
43,3,,Оптиматика 43 Моторс,214,"3669,45",0
44,3,,Лайм Моторс Белгород,66,"13066,58",2
45,3,,Оптиматика 45 Моторс,314,"10784,88",1
46,3,,Оптиматика 46 Моторс,80,"9147,95",2
47,3,,Оптиматика 47 Моторс,169,"5445,07",3
48,4,,Оптиматика 48 Моторс,69,"4579,01",3
49,4,,Оптиматика 49 Моторс,300,"7075,7",0
50,4,,Оптиматика 50 Моторс,65,"11333,27",2
51,4,,АвтоСтиль Тверь,125,"18185,3",2
52,4,,Оптиматика 52 Моторс,200,"3802,62",0
53,4,,Оптиматика 53 Моторс,91,"7397,14",3
54,4,,Топ Карс Отрадное,56,3940,3
55,4,,Оптиматика 55 Моторс,365,"5154,99",0
56,4,,Хит Моторс Северо-Запад,100,"4837,85",3
57,4,,Оптиматика 57 Моторс,70,"17093,17",2
58,4,,Оптиматика 58 Моторс,120,"8601,6",3
59,4,,Оптиматика 59 Моторс,130,"3333,01",3
60,4,,Оптиматика 60 Моторс,116,"5149,29",3
61,4,,Оптиматика 61 Моторс,123,"5318,06",3
62,4,,Авто Центр Воронеж,34,"7463,69",3
63,4,,Оптиматика 63 Моторс,97,"17463,68",2
64,5,,Оптиматика 64 Моторс,52,"8403,35",3
65,5,,Оптиматика 65 Моторс,96,"12809,79",2
66,5,,Оптиматика 66 Моторс,50,"6860,4",3
67,5,,Оптиматика 67 Моторс,76,"2351,13",3
68,5,,Оптиматика 68 Моторс,118,"2740,84",3
69,6,,Оптиматика 69 Моторс,83,"3473,92",3
70,6,,Лайм Моторс Казань,113,"7964,73",3
71,6,,Оптиматика 71 Моторс,338,"6803,61",0
72,6,,Оптиматика 72 Моторс,100,"10378,29",2
73,6,,Оптиматика 73 Моторс,85,"15610,92",2
74,6,,Оптиматика 74 Моторс,55,"7450,28",3
75,6,,Оптиматика 75 Моторс,106,"9415,2",2
